,ER_accuracy,ER_precision,ER_recall,ER_f1,ER_auc,PR_accuracy,PR_precision,PR_recall,PR_f1,PR_auc,HER2_accuracy,HER2_precision,HER2_recall,HER2_f1,HER2_auc,accuracy_all,precision_all,recall_all,f1_all,auc_all,composite_score
trial_19,0.5,0.5,1.0,0.6666666865348816,0.65625,0.3333333432674408,0.3333333432674408,1.0,0.5,0.69140625,0.625,0.625,1.0,0.7692307829856873,0.7037037014961243,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6837866306304932,0.6700183153152466
trial_5,0.5,0.5,1.0,0.6666666865348816,0.7986111044883728,0.3333333432674408,0.3333333432674408,1.0,0.5,0.80078125,0.625,0.625,1.0,0.7692307829856873,0.6000000238418579,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.7331308126449585,0.6665654182434082
trial_8,0.5,0.5,1.0,0.6666666865348816,0.6388888359069824,0.3333333432674408,0.3333333432674408,1.0,0.5,0.703125,0.375,0.0,0.0,0.0,0.6888889074325562,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6769675612449646,0.6579281985759735
trial_11,0.5,0.5,1.0,0.6666666865348816,0.6597222685813904,0.3333333432674408,0.3333333432674408,1.0,0.5,0.625,0.375,0.0,0.0,0.0,0.7444444298744202,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6763889193534851,0.6506944596767426
trial_26,0.5,0.5,1.0,0.6666666865348816,0.8055555820465088,0.3333333432674408,0.3333333432674408,1.0,0.5,0.59375,0.625,0.625,1.0,0.7692307829856873,0.6481481790542603,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6824845671653748,0.6381172835826874
trial_35,0.5,0.5,1.0,0.6666666865348816,0.7152777910232544,0.3333333432674408,0.3333333432674408,1.0,0.5,0.65625,0.375,0.0,0.0,0.0,0.6111111044883728,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6608796119689941,0.6359953582286835
trial_4,0.5,0.5,1.0,0.6666666865348816,0.6805554628372192,0.3333333432674408,0.3333333432674408,1.0,0.5,0.734375,0.625,0.625,1.0,0.7692307829856873,0.5888888835906982,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6679397821426392,0.6284143328666687
trial_21,0.5,0.5,1.0,0.6666666865348816,0.6111111044883728,0.3333333432674408,0.3333333432674408,1.0,0.5,0.625,0.375,0.0,0.0,0.0,0.6370370388031006,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.624382734298706,0.6177469193935394
trial_1,0.5,0.5,1.0,0.6666666865348816,0.7465277910232544,0.3333333432674408,0.3333333432674408,1.0,0.5,0.6484375,0.625,0.625,1.0,0.7692307829856873,0.5740740895271301,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6563464403152466,0.6152102649211884
trial_0,0.6666666865348816,0.6000000238418579,1.0,0.75,0.7847222089767456,0.3333333432674408,0.3333333432674408,1.0,0.5,0.68359375,0.4166666567325592,1.0,0.06666667014360428,0.125,0.5518518090248108,0.472222238779068,0.644444465637207,0.6888889074325562,0.4583333432674408,0.6733892560005188,0.6126205325126648
trial_38,0.5,0.5,1.0,0.6666666865348816,0.5833333730697632,0.3333333432674408,0.3333333432674408,1.0,0.5,0.63671875,0.625,0.625,1.0,0.7692307829856873,0.6666666865348816,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.62890625,0.6061198115348816
trial_13,0.5,0.5,1.0,0.6666666865348816,0.6145833134651184,0.3333333432674408,0.3333333432674408,1.0,0.5,0.57421875,0.625,0.625,1.0,0.7692307829856873,0.7148148417472839,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6345389485359192,0.6043788492679596
trial_12,0.5,0.5,1.0,0.6666666865348816,0.5937500596046448,0.3333333432674408,0.3333333432674408,1.0,0.5,0.5625,0.375,0.0,0.0,0.0,0.7814815044403076,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6459105014801025,0.6042052507400513
trial_14,0.5,0.5,1.0,0.6666666865348816,0.6180555820465088,0.3333333432674408,0.3333333432674408,1.0,0.5,0.60546875,0.625,0.625,1.0,0.7692307829856873,0.5740740895271301,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.5991994738578796,0.5866367816925049
trial_2,0.5,0.5,1.0,0.6666666865348816,0.5173611640930176,0.3333333432674408,0.3333333432674408,1.0,0.5,0.5234375,0.625,0.625,1.0,0.7692307829856873,0.5962963104248047,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.545698344707489,0.5315297544002533
